year,male,female
1960,Liam,Emma
1960,Oliver,Sophia
1960,Henry,Charlotte
1960,Benjamin,Amelia
1960,Alexander,Ava
1960,Theodore,Isabella
1960,William,Mia
1960,Mateo,Evelyn
1960,Logan,Camila
1960,James,Sofia
1960,Lucas,Gianna
1960,Owen,Eleanor
1960,Daniel,Nora
1960,Jack,Layla
1960,Michael,Emily
1960,Leo,Elizabeth
1960,Elijah,Harper
1960,Sebastian,Mila
1960,Mason,Avery
1960,Anthony,Abigail
1960,Joseph,Luna
1960,Ethan,Emilia
1960,Jackson,Penelope
1960,Aiden,Ella
1960,Julian,Aria
1960,Levi,Grace
1960,Luca,Scarlett
1960,John,Chloe
1960,Jacob,Violet
1960,Charles,Isla
1960,Thomas,Zoey
1960,Wyatt,Hazel
1960,Isaac,Lily
1960,Miles,Maya
1960,David,Nova
1960,Gabriel,Eliana
1960,Matthew,Lillian
1960,Lincoln,Madison
1960,Carter,Willow
1960,Cameron,Ellie
1960,Samuel,Victoria
1960,Luke,Stella
1960,Dylan,Elena
1960,Grayson,Lucy
1960,Santiago,Riley
1960,Asher,Zoe
1960,Nolan,Addison
1960,Leonardo,Delilah
1960,Elias,Leilani
1960,Hudson,Hannah
1960,Nathan,Quinn
1960,Jayden,Ivy
1960,Josiah,Natalia
1960,Ryan,Naomi
1960,Caleb,Brooklyn
1960,Isaiah,Natalie
1960,Maverick,Leah
1960,Ezra,Ruby
1960,Adam,Vivian
1960,Christopher,Liliana
1960,Jaxon,Maeve
1960,Adrian,Everly
1960,Joshua,Hailey
1960,Dominic,Aubrey
1960,Nicholas,Madelyn
1960,Jonathan,Audrey
1960,Andrew,Savannah
1960,Gael,Aurora
1960,Connor,Claire
1960,Ezekiel,Josephine
1960,Landon,Bella
1960,Emmett,Gabriella
1960,Angel,Kinsley
1960,Bennett,Samantha
1960,Jordan,Aaliyah
1960,Brooks,Madeline
1960,Vincent,Eloise
1960,Everett,Skylar
1960,Aaron,Anna
1960,Declan,Ximena
1960,Amir,Julia
1960,Wesley,Ayla
1960,Eli,Cecilia
1960,Kai,Kennedy
1960,Damian,Sophie
1960,Robert,Margaret
1960,Axel,Ariana
1960,Beau,Autumn
1960,Easton,Allison
1960,Colton,Valentina
1960,Cooper,Clara
1960,George,Piper
1960,Ian,Eva
1960,Christian,Mackenzie
1960,Roman,Alice
1960,Messiah,Cora
1960,Theo,Paisley
1960,Jaxson,Serenity
1960,Austin,Rose
1960,Giovanni, 
1961,Noah,Olivia
1961,Liam,Emma
1961,Oliver,Sophia
1961,Henry,Charlotte
1961,Benjamin,Amelia
1961,Alexander,Ava
1961,Theodore,Isabella
1961,William,Mia
1961,Mateo,Evelyn
1961,Logan,Camila
1961,James,Sofia
1961,Lucas,Gianna
1961,Owen,Eleanor
1961,Daniel,Nora
1961,Jack,Layla
1961,Michael,Emily
1961,Leo,Elizabeth
1961,Elijah,Harper
1961,Sebastian,Mila
1961,Mason,Avery
1961,Anthony,Abigail
1961,Joseph,Luna
1961,Ethan,Emilia
1961,Jackson,Penelope
1961,Aiden,Ella
1961,Julian,Aria
1961,Levi,Grace
1961,Luca,Scarlett
1961,John,Chloe
1961,Jacob,Violet
1961,Charles,Isla
1961,Thomas,Zoey
1961,Wyatt,Hazel
1961,Isaac,Lily
1961,Miles,Maya
1961,David,Nova
1961,Gabriel,Eliana
1961,Matthew,Lillian
1961,Lincoln,Madison
1961,Carter,Willow
1961,Cameron,Ellie
1961,Samuel,Victoria
1961,Luke,Stella
1961,Dylan,Elena
